Sayaç_Kodu,Sayaç_Seri_No,Dönem,Gün,Saat,Çekiş
2127570400.0,500279486,01/2025,29,03-04,7.25
2127570400.0,500279486,01/2025,30,03-04,7.301
2127570400.0,500279486,01/2025,31,03-04,7.295
2127570400.0,500279486,01/2025,1,04-05,6.964
2127570400.0,500279486,01/2025,2,04-05,6.962
2127570400.0,500279486,01/2025,3,04-05,6.981
2127570400.0,500279486,01/2025,4,04-05,6.978
2127570400.0,500279486,01/2025,5,04-05,6.956
2127570400.0,500279486,01/2025,6,04-05,7.047
2127570400.0,500279486,01/2025,7,04-05,6.97
2127570400.0,500279486,01/2025,8,04-05,6.954
2127570400.0,500279486,01/2025,9,04-05,7.004
2127570400.0,500279486,01/2025,10,04-05,7.043
2127570400.0,500279486,01/2025,11,04-05,6.987
2127570400.0,500279486,01/2025,12,04-05,6.96
2127570400.0,500279486,01/2025,13,04-05,6.98
2127570400.0,500279486,01/2025,14,04-05,6.908
2127570400.0,500279486,01/2025,15,04-05,6.939
2127570400.0,500279486,01/2025,16,04-05,6.963
2127570400.0,500279486,01/2025,17,04-05,6.971
2127570400.0,500279486,01/2025,18,04-05,6.987
2127570400.0,500279486,01/2025,19,04-05,6.991
2127570400.0,500279486,01/2025,20,04-05,6.918
2127570400.0,500279486,01/2025,21,04-05,6.973
2127570400.0,500279486,01/2025,22,04-05,7.187
2127570400.0,500279486,01/2025,23,04-05,7.301
2127570400.0,500279486,01/2025,24,04-05,7.297
2127570400.0,500279486,01/2025,25,04-05,7.315
2127570400.0,500279486,01/2025,26,04-05,7.423
2127570400.0,500279486,01/2025,27,04-05,7.348
2127570400.0,500279486,01/2025,28,04-05,7.284
2127570400.0,500279486,01/2025,29,04-05,7.279
2127570400.0,500279486,01/2025,30,04-05,7.335
2127570400.0,500279486,01/2025,31,04-05,7.324
2127570400.0,500279486,01/2025,1,05-06,6.967
2127570400.0,500279486,01/2025,2,05-06,6.956
2127570400.0,500279486,01/2025,3,05-06,6.955
2127570400.0,500279486,01/2025,4,05-06,6.967
2127570400.0,500279486,01/2025,5,05-06,6.979
2127570400.0,500279486,01/2025,6,05-06,7.035
2127570400.0,500279486,01/2025,7,05-06,6.953
2127570400.0,500279486,01/2025,8,05-06,6.962
2127570400.0,500279486,01/2025,9,05-06,6.998
2127570400.0,500279486,01/2025,10,05-06,7.026
2127570400.0,500279486,01/2025,11,05-06,6.963
2127570400.0,500279486,01/2025,12,05-06,6.998
2127570400.0,500279486,01/2025,13,05-06,6.998
2127570400.0,500279486,01/2025,14,05-06,6.917
2127570400.0,500279486,01/2025,15,05-06,6.919
2127570400.0,500279486,01/2025,16,05-06,6.948
2127570400.0,500279486,01/2025,17,05-06,6.989
2127570400.0,500279486,01/2025,18,05-06,6.975
2127570400.0,500279486,01/2025,19,05-06,7.005
2127570400.0,500279486,01/2025,20,05-06,6.914
2127570400.0,500279486,01/2025,21,05-06,6.973
2127570400.0,500279486,01/2025,22,05-06,7.181
2127570400.0,500279486,01/2025,23,05-06,7.284
2127570400.0,500279486,01/2025,24,05-06,7.286
2127570400.0,500279486,01/2025,25,05-06,7.296
2127570400.0,500279486,01/2025,26,05-06,7.357
2127570400.0,500279486,01/2025,27,05-06,7.334
2127570400.0,500279486,01/2025,28,05-06,7.266
