date,daily_active_kwh,active_hours_count,mean_active_intensity,p10_active,night_missing_frac,has_imputed_long,rolling_28d_median,daily_kwh_norm,delta_1d,delta_7d,rolling_7d_std,rolling_28d_zscore,day_of_year,month,month_sin,month_cos,day_of_year_sin,day_of_year_cos
2025-01-01,99.539,16,6.2211875,4.9545,0.3333333333333333,0,98.13200000000002,1.014337830677047,,,,0.6601413409640645,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162
2025-01-02,99.408,16,6.213,4.925,0.3333333333333333,0,98.13200000000002,1.0130028940610605,-0.13100000000000023,,,0.646865839096391,2,1,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048
2025-01-03,98.959,16,6.1849375,4.926,0.3333333333333333,0,98.13200000000002,1.008427424285656,-0.44899999999999807,,0.3041825110028527,0.6013643097942123,3,1,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476
2025-01-04,78.84399999999998,13,6.064923076923075,3.9978000000000007,0.4583333333333333,0,98.13200000000002,0.803448416418701,-20.115000000000023,,10.23201474132377,-1.4370839350016211,4,1,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857
2025-01-05,98.13200000000002,15,6.542133333333335,6.4322,0.3333333333333333,0,98.13200000000002,1.0,19.28800000000004,,9.035065594670591,0.5175563705227174,5,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078
2025-01-06,78.372,12,6.531,6.4208,0.4583333333333333,0,98.13200000000002,0.7986385684588104,-19.76000000000002,,10.547840764820078,-1.4849162776088094,6,1,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211
2025-01-07,97.91999999999999,15,6.528,6.4874,0.3333333333333333,0,98.13200000000002,0.9978396445603878,19.547999999999988,,9.867800201135202,0.49607235223304397,7,1,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402
2025-01-08,97.92800000000001,15,6.528533333333334,6.4350000000000005,0.3333333333333333,0,98.13200000000002,0.9979211674071657,0.008000000000023988,-1.61099999999999,9.708045438608917,0.4968830699043547,8,1,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229
2025-01-09,98.26000000000002,15,6.550666666666668,6.4674000000000005,0.3333333333333333,0,98.03000000000002,1.0023462205447313,0.33200000000000784,-1.147999999999982,9.586643533484253,0.4970791090608539,9,1,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976
2025-01-10,98.611,15,6.574066666666667,6.5268,0.375,0,98.13200000000002,1.004881180450821,0.3509999999999849,-0.347999999999999,9.549186021157347,0.5048494624545347,10,1,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606
