Date,Hour,Consumption_kWh,is_missing,OSF_ID,Month,Year,missingness_cause
2025-01-01,0,6.706,0,2193681000,1,2025,
2025-01-01,1,6.77,0,2193681000,1,2025,
2025-01-01,2,6.855,0,2193681000,1,2025,
2025-01-01,3,6.915,0,2193681000,1,2025,
2025-01-01,4,6.964,0,2193681000,1,2025,
2025-01-01,5,6.967,0,2193681000,1,2025,
2025-01-01,6,6.96,0,2193681000,1,2025,
2025-01-01,7,6.98,0,2193681000,1,2025,
2025-01-01,8,3.485,0,2193681000,1,2025,
2025-01-01,9,0.0,0,2193681000,1,2025,
2025-01-01,10,0.001,0,2193681000,1,2025,
2025-01-01,11,0.0,0,2193681000,1,2025,
2025-01-01,12,0.001,0,2193681000,1,2025,
2025-01-01,13,0.0,0,2193681000,1,2025,
2025-01-01,14,0.001,0,2193681000,1,2025,
2025-01-01,15,0.0,0,2193681000,1,2025,
2025-01-01,16,0.001,0,2193681000,1,2025,
2025-01-01,17,1.342,0,2193681000,1,2025,
2025-01-01,18,6.424,0,2193681000,1,2025,
2025-01-01,19,6.444,0,2193681000,1,2025,
2025-01-01,20,6.576,0,2193681000,1,2025,
2025-01-01,21,6.646,0,2193681000,1,2025,
2025-01-01,22,6.727,0,2193681000,1,2025,
2025-01-01,23,6.778,0,2193681000,1,2025,
2025-01-02,0,6.834,0,2193681000,1,2025,
2025-01-02,1,6.894,0,2193681000,1,2025,
2025-01-02,2,6.942,0,2193681000,1,2025,
2025-01-02,3,6.95,0,2193681000,1,2025,
2025-01-02,4,6.962,0,2193681000,1,2025,
2025-01-02,5,6.956,0,2193681000,1,2025,
2025-01-02,6,6.895,0,2193681000,1,2025,
2025-01-02,7,6.803,0,2193681000,1,2025,
2025-01-02,8,3.396,0,2193681000,1,2025,
2025-01-02,9,0.0,0,2193681000,1,2025,
2025-01-02,10,0.001,0,2193681000,1,2025,
2025-01-02,11,0.0,0,2193681000,1,2025,
2025-01-02,12,0.001,0,2193681000,1,2025,
2025-01-02,13,0.0,0,2193681000,1,2025,
2025-01-02,14,0.001,0,2193681000,1,2025,
2025-01-02,15,0.0,0,2193681000,1,2025,
2025-01-02,16,0.001,0,2193681000,1,2025,
2025-01-02,17,1.232,0,2193681000,1,2025,
2025-01-02,18,6.454,0,2193681000,1,2025,
2025-01-02,19,6.495,0,2193681000,1,2025,
2025-01-02,20,6.57,0,2193681000,1,2025,
2025-01-02,21,6.648,0,2193681000,1,2025,
2025-01-02,22,6.687,0,2193681000,1,2025,
2025-01-02,23,6.69,0,2193681000,1,2025,
2025-01-03,0,6.737,0,2193681000,1,2025,
2025-01-03,1,6.827,0,2193681000,1,2025,
2025-01-03,2,6.895,0,2193681000,1,2025,
2025-01-03,3,6.942,0,2193681000,1,2025,
2025-01-03,4,6.981,0,2193681000,1,2025,
2025-01-03,5,6.955,0,2193681000,1,2025,
2025-01-03,6,6.885,0,2193681000,1,2025,
2025-01-03,7,6.815,0,2193681000,1,2025,
2025-01-03,8,3.371,0,2193681000,1,2025,
2025-01-03,9,0.001,0,2193681000,1,2025,
2025-01-03,10,0.0,0,2193681000,1,2025,
2025-01-03,11,0.001,0,2193681000,1,2025,
2025-01-03,12,0.0,0,2193681000,1,2025,
2025-01-03,13,0.001,0,2193681000,1,2025,
2025-01-03,14,0.0,0,2193681000,1,2025,
2025-01-03,15,0.001,0,2193681000,1,2025,
2025-01-03,16,0.0,0,2193681000,1,2025,
2025-01-03,17,1.132,0,2193681000,1,2025,
2025-01-03,18,6.481,0,2193681000,1,2025,
2025-01-03,19,6.496,0,2193681000,1,2025,
2025-01-03,20,6.524,0,2193681000,1,2025,
2025-01-03,21,6.588,0,2193681000,1,2025,
2025-01-03,22,6.634,0,2193681000,1,2025,
2025-01-03,23,6.696,0,2193681000,1,2025,
2025-01-04,0,6.715,0,2193681000,1,2025,
2025-01-04,1,6.789,0,2193681000,1,2025,
2025-01-04,2,6.882,0,2193681000,1,2025,
2025-01-04,3,6.954,0,2193681000,1,2025,
2025-01-04,4,6.978,0,2193681000,1,2025,
2025-01-04,5,6.967,0,2193681000,1,2025,
2025-01-04,6,6.925,0,2193681000,1,2025,
2025-01-04,7,6.89,0,2193681000,1,2025,
2025-01-04,8,3.41,0,2193681000,1,2025,
2025-01-04,9,0.001,0,2193681000,1,2025,
2025-01-04,10,0.0,0,2193681000,1,2025,
2025-01-04,11,0.001,0,2193681000,1,2025,
2025-01-04,12,0.0,0,2193681000,1,2025,
2025-01-04,13,0.001,0,2193681000,1,2025,
2025-01-04,14,0.0,0,2193681000,1,2025,
2025-01-04,15,0.001,0,2193681000,1,2025,
2025-01-04,16,0.0,0,2193681000,1,2025,
2025-01-04,17,1.001,0,2193681000,1,2025,
2025-01-04,18,6.349,0,2193681000,1,2025,
2025-01-04,19,6.451,0,2193681000,1,2025,
2025-01-04,20,6.533,0,2193681000,1,2025,
2025-01-04,21,0.0,0,2193681000,1,2025,
2025-01-04,22,6.682,1,2193681000,1,2025,unknown_missingness
2025-01-04,23,0.0,0,2193681000,1,2025,
2025-01-05,0,6.717,0,2193681000,1,2025,
2025-01-05,1,6.828,0,2193681000,1,2025,
2025-01-05,2,6.883,0,2193681000,1,2025,
2025-01-05,3,6.907,0,2193681000,1,2025,
2025-01-05,4,6.956,0,2193681000,1,2025,
2025-01-05,5,6.979,0,2193681000,1,2025,
2025-01-05,6,6.975,0,2193681000,1,2025,
2025-01-05,7,6.961,0,2193681000,1,2025,
2025-01-05,8,3.456,0,2193681000,1,2025,
2025-01-05,9,0.001,0,2193681000,1,2025,
2025-01-05,10,0.0,0,2193681000,1,2025,
2025-01-05,11,0.0,0,2193681000,1,2025,
2025-01-05,12,0.001,0,2193681000,1,2025,
2025-01-05,13,0.0,0,2193681000,1,2025,
2025-01-05,14,0.001,0,2193681000,1,2025,
2025-01-05,15,0.0,0,2193681000,1,2025,
2025-01-05,16,0.001,0,2193681000,1,2025,
2025-01-05,17,0.909,0,2193681000,1,2025,
2025-01-05,18,6.415,0,2193681000,1,2025,
2025-01-05,19,6.458,0,2193681000,1,2025,
2025-01-05,20,6.544,0,2193681000,1,2025,
2025-01-05,21,6.629,0,2193681000,1,2025,
2025-01-05,22,6.677,0,2193681000,1,2025,
2025-01-05,23,6.747,0,2193681000,1,2025,
2025-01-06,0,6.735,0,2193681000,1,2025,
2025-01-06,1,6.83,0,2193681000,1,2025,
2025-01-06,2,6.936,0,2193681000,1,2025,
2025-01-06,3,7.01,0,2193681000,1,2025,
2025-01-06,4,7.047,0,2193681000,1,2025,
2025-01-06,5,7.035,0,2193681000,1,2025,
2025-01-06,6,6.995,0,2193681000,1,2025,
2025-01-06,7,6.887,0,2193681000,1,2025,
2025-01-06,8,3.388,0,2193681000,1,2025,
2025-01-06,9,0.0,0,2193681000,1,2025,
2025-01-06,10,0.0,0,2193681000,1,2025,
2025-01-06,11,0.001,0,2193681000,1,2025,
2025-01-06,12,0.0,0,2193681000,1,2025,
2025-01-06,13,0.001,0,2193681000,1,2025,
2025-01-06,14,0.0,0,2193681000,1,2025,
2025-01-06,15,0.001,0,2193681000,1,2025,
2025-01-06,16,0.0,0,2193681000,1,2025,
2025-01-06,17,0.813,0,2193681000,1,2025,
2025-01-06,18,6.42,0,2193681000,1,2025,
2025-01-06,19,6.428,0,2193681000,1,2025,
2025-01-06,20,0.0,0,2193681000,1,2025,
2025-01-06,21,6.632,1,2193681000,1,2025,unknown_missingness
2025-01-06,22,0.0,0,2193681000,1,2025,
2025-01-06,23,6.661,0,2193681000,1,2025,
2025-01-07,0,6.779,0,2193681000,1,2025,
2025-01-07,1,6.853,0,2193681000,1,2025,
2025-01-07,2,6.881,0,2193681000,1,2025,
2025-01-07,3,6.942,0,2193681000,1,2025,
2025-01-07,4,6.97,0,2193681000,1,2025,
2025-01-07,5,6.953,0,2193681000,1,2025,
2025-01-07,6,6.912,0,2193681000,1,2025,
2025-01-07,7,6.843,0,2193681000,1,2025,
2025-01-07,8,3.364,0,2193681000,1,2025,
2025-01-07,9,0.0,0,2193681000,1,2025,
2025-01-07,10,0.001,0,2193681000,1,2025,
2025-01-07,11,0.0,0,2193681000,1,2025,
2025-01-07,12,0.001,0,2193681000,1,2025,
2025-01-07,13,0.0,0,2193681000,1,2025,
2025-01-07,14,0.001,0,2193681000,1,2025,
2025-01-07,15,0.0,0,2193681000,1,2025,
2025-01-07,16,0.001,0,2193681000,1,2025,
2025-01-07,17,0.715,0,2193681000,1,2025,
2025-01-07,18,6.469,0,2193681000,1,2025,
2025-01-07,19,6.526,0,2193681000,1,2025,
2025-01-07,20,6.515,0,2193681000,1,2025,
2025-01-07,21,6.577,0,2193681000,1,2025,
2025-01-07,22,6.637,0,2193681000,1,2025,
2025-01-07,23,6.699,0,2193681000,1,2025,
2025-01-08,0,6.792,0,2193681000,1,2025,
2025-01-08,1,6.888,0,2193681000,1,2025,
2025-01-08,2,6.937,0,2193681000,1,2025,
2025-01-08,3,6.951,0,2193681000,1,2025,
2025-01-08,4,6.954,0,2193681000,1,2025,
2025-01-08,5,6.962,0,2193681000,1,2025,
2025-01-08,6,6.928,0,2193681000,1,2025,
2025-01-08,7,6.863,0,2193681000,1,2025,
2025-01-08,8,3.272,0,2193681000,1,2025,
2025-01-08,9,0.0,0,2193681000,1,2025,
2025-01-08,10,0.001,0,2193681000,1,2025,
2025-01-08,11,0.0,0,2193681000,1,2025,
2025-01-08,12,0.0,0,2193681000,1,2025,
2025-01-08,13,0.001,0,2193681000,1,2025,
2025-01-08,14,0.0,0,2193681000,1,2025,
2025-01-08,15,0.001,0,2193681000,1,2025,
2025-01-08,16,0.0,0,2193681000,1,2025,
2025-01-08,17,0.614,0,2193681000,1,2025,
2025-01-08,18,6.456,0,2193681000,1,2025,
2025-01-08,19,6.421,0,2193681000,1,2025,
2025-01-08,20,6.513,0,2193681000,1,2025,
2025-01-08,21,6.576,0,2193681000,1,2025,
2025-01-08,22,6.674,0,2193681000,1,2025,
2025-01-08,23,6.741,0,2193681000,1,2025,
2025-01-09,0,6.813,0,2193681000,1,2025,
2025-01-09,1,6.859,0,2193681000,1,2025,
2025-01-09,2,6.935,0,2193681000,1,2025,
2025-01-09,3,6.968,0,2193681000,1,2025,
2025-01-09,4,7.004,0,2193681000,1,2025,
2025-01-09,5,6.998,0,2193681000,1,2025,
2025-01-09,6,6.973,0,2193681000,1,2025,
2025-01-09,7,6.865,0,2193681000,1,2025,
2025-01-09,8,3.273,0,2193681000,1,2025,
2025-01-09,9,0.001,0,2193681000,1,2025,
2025-01-09,10,0.0,0,2193681000,1,2025,
2025-01-09,11,0.0,0,2193681000,1,2025,
2025-01-09,12,0.0,0,2193681000,1,2025,
2025-01-09,13,0.0,0,2193681000,1,2025,
2025-01-09,14,0.0,0,2193681000,1,2025,
2025-01-09,15,0.001,0,2193681000,1,2025,
2025-01-09,16,0.0,0,2193681000,1,2025,
2025-01-09,17,0.5,0,2193681000,1,2025,
2025-01-09,18,6.447,0,2193681000,1,2025,
2025-01-09,19,6.498,0,2193681000,1,2025,
2025-01-09,20,6.555,0,2193681000,1,2025,
2025-01-09,21,6.635,0,2193681000,1,2025,
2025-01-09,22,6.723,0,2193681000,1,2025,
2025-01-09,23,6.714,0,2193681000,1,2025,
2025-01-10,0,6.788,0,2193681000,1,2025,
2025-01-10,1,6.905,0,2193681000,1,2025,
2025-01-10,2,6.985,0,2193681000,1,2025,
2025-01-10,3,7.023,0,2193681000,1,2025,
2025-01-10,4,7.043,0,2193681000,1,2025,
2025-01-10,5,7.026,0,2193681000,1,2025,
2025-01-10,6,7.004,0,2193681000,1,2025,
2025-01-10,7,6.909,0,2193681000,1,2025,
2025-01-10,8,3.258,0,2193681000,1,2025,
2025-01-10,9,0.0,0,2193681000,1,2025,
2025-01-10,10,0.001,0,2193681000,1,2025,
2025-01-10,11,0.0,0,2193681000,1,2025,
2025-01-10,12,0.001,0,2193681000,1,2025,
2025-01-10,13,0.0,0,2193681000,1,2025,
2025-01-10,14,0.0,0,2193681000,1,2025,
2025-01-10,15,0.001,0,2193681000,1,2025,
2025-01-10,16,0.0,0,2193681000,1,2025,
2025-01-10,17,0.398,0,2193681000,1,2025,
2025-01-10,18,6.51,0,2193681000,1,2025,
2025-01-10,19,6.552,0,2193681000,1,2025,
2025-01-10,20,6.583,0,2193681000,1,2025,
2025-01-10,21,6.609,0,2193681000,1,2025,
2025-01-10,22,6.673,0,2193681000,1,2025,
2025-01-10,23,6.743,0,2193681000,1,2025,
2025-01-11,0,6.76,0,2193681000,1,2025,
2025-01-11,1,6.845,0,2193681000,1,2025,
2025-01-11,2,6.952,0,2193681000,1,2025,
2025-01-11,3,7.01,0,2193681000,1,2025,
2025-01-11,4,6.987,0,2193681000,1,2025,
2025-01-11,5,6.963,0,2193681000,1,2025,
2025-01-11,6,6.932,0,2193681000,1,2025,
2025-01-11,7,6.878,0,2193681000,1,2025,
2025-01-11,8,3.278,0,2193681000,1,2025,
2025-01-11,9,0.0,0,2193681000,1,2025,
2025-01-11,10,0.0,0,2193681000,1,2025,
2025-01-11,11,0.001,0,2193681000,1,2025,
2025-01-11,12,0.0,0,2193681000,1,2025,
2025-01-11,13,0.001,0,2193681000,1,2025,
2025-01-11,14,0.0,0,2193681000,1,2025,
2025-01-11,15,0.001,0,2193681000,1,2025,
2025-01-11,16,0.0,0,2193681000,1,2025,
2025-01-11,17,0.284,0,2193681000,1,2025,
2025-01-11,18,6.287,0,2193681000,1,2025,
2025-01-11,19,6.366,0,2193681000,1,2025,
2025-01-11,20,6.473,0,2193681000,1,2025,
2025-01-11,21,6.521,0,2193681000,1,2025,
2025-01-11,22,6.615,0,2193681000,1,2025,
