Date,OSF_ID,DailyTotal,missing_ratio,data_quality_flag,Category,Reason
2026-02-12,2193681000,76.571,0.375,data_quality_low,DATA_QUALITY_LOW,Insufficient data – 38% hours missing
2026-02-13,2193681000,56.242,0.5833,data_quality_low,DATA_QUALITY_LOW,Insufficient data – 58% hours missing
