Date,OSF_ID,NightMean,DailyTotal,NightEfficiency,NightSlope_14d,NightSlope_30d,DailySlope_14d,DailySlope_30d,Night_Volatility_14d,Night_Volatility_30d,FlagAccum_14d,DegradationScore,RiskLevel,missing_ratio,data_quality_flag
2025-01-01,2193681000,6.8353,99.543,0.9973735279358305,,,,,,,1.0,0.0,NORMAL,0.0,complete
2025-01-02,2193681000,6.8644,99.412,1.0016196575370084,,,,,,,2.0,0.0,NORMAL,0.0,complete
2025-01-03,2193681000,6.8334,98.963,0.997096289233348,,,,,,,3.0,8.0,NORMAL,0.0,complete
2025-01-04,2193681000,5.8979,78.848,0.8605927070373991,,,,,,,5.0,30.0,LOW_RISK,0.0417,partial_missing
2025-01-05,2193681000,6.8368,99.045,0.997592400595685,,,,,,,6.0,15.0,LOW_RISK,0.0,complete
2025-01-06,2193681000,6.0317,79.188,0.8801161482964242,,,,,,,8.0,30.0,LOW_RISK,0.0417,partial_missing
2025-01-07,2193681000,6.8392,98.639,0.9979425968514521,-0.05893928571428511,,-1.5385000000000106,,0.4298085576049834,,9.0,45.0,MEDIUM_RISK,0.0,complete
2025-01-08,2193681000,6.8624,98.545,1.001327827323869,-0.016696428571428952,,-0.5949880952380985,,0.4093108840739868,,10.0,35.0,MEDIUM_RISK,0.0,complete
2025-01-09,2193681000,6.8767,98.762,1.0034144133478158,0.005083333333333131,,-0.10054999999999752,,0.39195024698437325,,11.0,15.0,LOW_RISK,0.0,complete
2025-01-10,2193681000,6.8982,99.012,1.006551588139064,0.01706666666666713,,0.17028484848484918,,0.3775758172576441,,12.0,15.0,LOW_RISK,0.0,complete
2025-01-11,2193681000,6.8533,97.848,0.9999999998540848,0.02078636363636359,,0.25736363636363324,,0.3620960593293142,,13.0,15.0,LOW_RISK,0.0,complete
2025-01-12,2193681000,6.8204,97.729,0.995199392847942,0.02086748251748216,,0.2931258741258746,,0.34718089196040774,,14.0,15.0,LOW_RISK,0.0,complete
2025-01-13,2193681000,6.8536,97.628,1.0000437743860557,0.02132307692307642,,0.3017472527472563,,0.3349750974288028,,15.0,15.0,LOW_RISK,0.0,complete
2025-01-14,2193681000,6.808,97.204,0.9933900455264777,0.019697362637362662,,0.28643076923077126,,0.322778932701012,0.322778932701012,16.0,15.0,LOW_RISK,0.0,complete
2025-01-15,2193681000,6.803,96.814,0.9926604699936292,0.02573230769230805,0.018023214285714337,0.4424637362637372,0.25956428571428874,0.3220231631147325,0.3117358226814127,16.0,15.0,LOW_RISK,0.0,complete
2025-01-16,2193681000,6.8138,96.807,0.9942363531445819,0.03317714285714237,0.016743676470587963,0.6059736263736257,0.23570735294118575,0.32055755479175024,0.3019350845656508,16.0,15.0,LOW_RISK,0.0,complete
2025-01-17,2193681000,6.8214,96.699,0.9953453079545116,0.04003956043956096,0.015686274509803554,0.7630461538461435,0.21259558823529753,0.3202362774680493,0.2931324113574535,16.0,15.0,LOW_RISK,0.0,complete
2025-01-18,2193681000,6.8394,96.791,0.9979717798727662,0.016628351648351913,0.014984829721362367,0.26956703296703177,0.19426109391125682,0.21782364590256442,0.2853787077377452,15.0,15.0,LOW_RISK,0.0,complete
2025-01-19,2193681000,6.8797,97.145,1.0038521586675249,0.021182857142857,0.014882456140350511,0.3731670329670319,0.18365964912281102,0.2189420275519789,0.2790844885592641,15.0,15.0,LOW_RISK,0.0,complete
2025-01-20,2193681000,6.8201,96.569,0.9951556183159711,-0.0026958241758235214,0.01374383458646573,-0.18596483516483367,0.16508345864661986,0.02950814378185573,0.27208024798229163,14.0,15.0,LOW_RISK,0.0,complete
2025-01-21,2193681000,6.8214,96.324,0.9953453079545116,-0.003381978021978033,0.012739350649350117,-0.18725494505494253,0.1460064935064964,0.030021065863898248,0.2655933299327412,14.0,15.0,LOW_RISK,0.0,complete
2025-01-22,2193681000,7.0089,100.4,1.0227043904363293,0.002132087912087774,0.014057255787689779,-0.06501098901099285,0.17828063241107125,0.05404434331136027,0.26467105141013336,14.0,15.0,LOW_RISK,0.0,complete
2025-01-23,2193681000,7.1805,101.327,1.0477434227236888,0.012376483516484396,0.016772430830038966,0.08271868131868212,0.2109752964426862,0.10344761720549529,0.2724468482086263,14.0,15.0,LOW_RISK,0.0,complete
2025-01-24,2193681000,7.1876,101.3,1.0487794199803335,0.02219714285714261,0.018766391304347634,0.22664395604395288,0.23377043478260917,0.13344158474202003,0.27872723378143244,14.0,15.0,LOW_RISK,0.0,complete
2025-01-25,2193681000,7.2229,101.372,1.0539302232422438,0.030274065934066372,0.020471230769230395,0.3241956043956027,0.250022307692307,0.15896456668559397,0.2854528959974541,14.0,15.0,LOW_RISK,0.0,complete
2025-01-26,2193681000,7.3184,102.144,1.0678651159196495,0.03837032967032993,0.02245305982905967,0.4243912087912093,0.2672629059829035,0.1880148446617634,0.2962475940570916,14.0,15.0,LOW_RISK,0.0833,partial_missing
2025-01-27,2193681000,7.262,101.033,1.0596355039091188,0.04376065934065906,0.023400122100121726,0.47010769230770305,0.2700073260073217,0.2021215189102675,0.30165677261009477,14.0,15.0,LOW_RISK,0.0,complete
2025-01-28,2193681000,7.2146,100.228,1.0527191278577153,0.04449824175824222,0.02363508483853265,0.46387912087911687,0.264260810071154,0.20396779386478195,0.30370991424479704,14.0,15.0,LOW_RISK,0.0,complete
2025-01-29,2193681000,7.2001,100.203,1.0506033588124548,0.042869450549450884,0.023561674876847145,0.4307868131868122,0.2576290640394073,0.19996469303739284,0.30454513004073314,14.0,15.0,LOW_RISK,0.0,complete
