Date,n_present,DailyTotal_kWh,DailyExpected_kWh,DailyResidual,Mean_Abs_Residual,Max_Abs_ZScore,Anomaly_Hours,Daily_Anomaly_Score
2026-01-01,24,48.6,97.6845,-49.0845,2.096020833333333,4.388384612362412,10,12.576125
2026-01-04,24,71.93,96.457,-24.527,1.1602916666666665,2.760591197017291,11,7.541895833333332
2026-01-03,24,72.66,96.457,-23.797,1.1390833333333334,2.7958993765193956,8,5.6954166666666675
2026-01-21,24,67.577,97.6845,-30.107499999999998,1.2829791666666666,2.689998568155267,2,2.565958333333333
2025-12-31,24,35.907,74.025,-38.118,1.6030833333333332,3.5797118239281858,1,2.404625
2026-01-20,24,71.672,97.6845,-26.0125,1.1210208333333334,2.585558603836645,1,1.68153125
2025-10-03,24,73.887,85.32600000000001,-11.439000000000002,0.4767916666666667,3.56304547276581,5,1.6687708333333335
2025-03-31,24,83.629,84.162,-0.5330000000000021,0.29745833333333327,4.226342405806233,8,1.4872916666666662
2025-03-12,22,57.539,69.882,-12.343,0.7431363636363636,4.5677372245745245,2,1.4862727272727272
2025-01-04,23,78.848,89.7275,-10.879500000000002,0.7309782608695652,3.827499432018258,2,1.4619565217391304
2025-01-06,23,79.188,91.007,-11.819,0.6889130434782608,5.480409717303064,2,1.3778260869565215
2025-12-04,24,104.708,74.025,30.683,1.2787083333333333,2.227276861027805,0,1.2787083333333333
2026-01-07,24,85.752,97.6845,-11.932500000000001,0.8453124999999999,6.736764899548345,1,1.2679687499999999
2025-12-02,24,104.428,74.025,30.403,1.266875,1.9578861874192934,0,1.266875
2025-12-05,24,104.14,74.025,30.115000000000002,1.254875,1.9578861874192934,0,1.254875
2025-12-03,24,103.994,74.025,29.969,1.2487916666666667,1.960616998799463,0,1.2487916666666667
2025-12-07,24,104.518,74.88550000000001,29.632499999999997,1.2371458333333332,2.4147543937671365,0,1.2371458333333332
2025-12-01,24,103.589,74.025,29.564,1.2318333333333333,1.8660177891183853,0,1.2318333333333333
2025-02-03,22,73.877,80.4125,-6.535499999999997,0.6086590909090911,5.249656568941529,2,1.2173181818181822
2026-01-05,24,72.17,97.6845,-25.5145,1.2054375,2.4369325007678375,0,1.2054375
2025-03-17,22,59.047,70.405,-11.358,0.5997272727272727,4.577836533598106,2,1.1994545454545453
2025-12-06,24,103.605,74.88550000000001,28.719499999999996,1.1991041666666666,2.1730261761995817,0,1.1991041666666666
2026-01-02,24,72.793,97.6845,-24.8915,1.1968958333333333,2.4406028507887862,0,1.1968958333333333
2025-12-08,24,102.352,74.025,28.327,1.1805416666666668,2.227276861027805,0,1.1805416666666668
2026-01-06,24,72.849,97.6845,-24.8355,1.1727291666666668,2.3794714970527218,0,1.1727291666666668
2026-01-22,24,70.788,97.6845,-26.8965,1.1436041666666668,2.1586334222869445,0,1.1436041666666668
2025-07-19,24,57.975,60.8075,-2.8324999999999996,0.14852083333333332,2.828419124768817,12,1.0396458333333332
2025-10-02,24,76.523,85.32600000000001,-8.803000000000003,0.38462499999999994,3.789018752675613,3,0.9615624999999999
2025-10-01,24,86.427,85.32600000000001,1.100999999999999,0.34437499999999993,2.654287370034664,3,0.8609374999999998
2025-02-12,24,91.228,94.3485,-3.120499999999999,0.2186041666666666,4.783146641563009,5,0.765114583333333
2025-08-28,24,78.453,66.365,12.087999999999997,0.5039166666666666,2.7267081168175267,1,0.7558749999999999
2025-08-29,24,77.841,66.365,11.475999999999997,0.48449999999999993,3.1950509956886597,1,0.7267499999999999
2025-03-30,24,83.455,85.0505,-1.595499999999999,0.2882708333333333,2.7975979442105223,3,0.7206770833333332
2025-04-01,24,82.38,75.4845,6.8955,0.2876458333333333,3.0055701290779315,3,0.7191145833333333
2025-08-23,24,69.054,70.066,-1.0120000000000016,0.35887500000000006,3.1628688427064686,2,0.7177500000000001
2026-01-23,24,85.67999999999999,97.6845,-12.0045,0.7169791666666666,1.9820584893665876,0,0.7169791666666666
2025-05-12,24,59.274,65.267,-5.993,0.24979166666666666,4.578478216369993,3,0.6244791666666667
2026-01-19,24,85.408,97.6845,-12.276500000000002,0.5918541666666667,2.0184294953324766,0,0.5918541666666667
2025-08-31,24,78.843,70.066,8.777,0.3657916666666667,2.5751168728227327,1,0.5486875
2025-09-29,24,87.382,84.8285,2.553499999999998,0.2734791666666666,3.9577109995257076,2,0.5469583333333332
2025-10-17,24,79.371,85.32600000000001,-5.955000000000004,0.26295833333333346,3.384655804187905,2,0.5259166666666669
2025-09-04,24,78.657,84.8285,-6.1715000000000035,0.2573125000000001,3.429892090309179,2,0.5146250000000002
2025-03-03,24,89.083,84.162,4.921,0.23920833333333333,4.5794431881142605,2,0.47841666666666666
2025-11-30,24,105.097,93.639,11.458,0.4774583333333333,1.860462242606336,0,0.4774583333333333
2025-11-23,24,104.591,93.639,10.952,0.45658333333333334,2.0701923923216494,0,0.45658333333333334
2025-01-26,22,102.144,96.4565,5.6875,0.4534318181818182,2.0300727544864547,0,0.4534318181818182
2025-10-16,24,82.221,85.32600000000001,-3.105000000000003,0.15112499999999995,4.563212347579699,4,0.45337499999999986
2025-11-29,24,104.267,93.639,10.628,0.44308333333333333,2.0701923923216494,0,0.44308333333333333
2025-11-28,24,104.402,93.7745,10.6275,0.44306249999999997,2.202993478267941,0,0.44306249999999997
2025-11-22,24,104.194,93.639,10.555,0.4398333333333333,1.9233893345182633,0,0.4398333333333333
2025-08-27,24,73.322,66.365,6.957,0.290875,4.574021483832532,1,0.4363125
2025-02-13,24,92.251,94.3485,-2.097499999999999,0.17256250000000004,4.023180935138589,3,0.4314062500000001
2025-11-21,24,103.861,93.7745,10.0865,0.42068750000000005,2.142720058889884,0,0.42068750000000005
2025-11-24,24,103.67699999999999,93.7745,9.9025,0.41260416666666666,2.1693853195908797,0,0.41260416666666666
2025-11-27,24,103.649,93.7745,9.8745,0.41152083333333334,1.965360056629064,0,0.41152083333333334
2025-11-03,24,92.041,93.7745,-1.7335000000000016,0.26781250000000006,4.471331809595635,1,0.4017187500000001
2026-02-01,24,99.223,95.893,3.3299999999999996,0.26308333333333334,3.3127128984047696,1,0.394625
2025-10-04,24,79.069,85.345,-6.275999999999998,0.2615416666666666,2.5120503978235518,1,0.39231249999999995
2025-11-25,24,103.116,93.7745,9.3415,0.3892291666666667,1.8983010508375113,0,0.3892291666666667
2025-10-31,24,89.81700000000001,85.32600000000001,4.491,0.19329166666666664,2.986917063621777,2,0.3865833333333333
2025-11-13,24,93.714,93.7745,-0.060499999999999776,0.19277083333333334,4.473058646469886,2,0.38554166666666667
2026-02-02,24,97.939,94.3485,3.590500000000002,0.24839583333333334,4.618925546174938,1,0.37259375
2025-10-30,24,89.629,85.32600000000001,4.303,0.18570833333333328,2.7158272311148495,2,0.37141666666666656
2025-11-26,24,102.686,93.7745,8.9115,0.3713125,1.8981682598212342,0,0.3713125
2026-01-29,24,101.709,97.6845,4.0245000000000015,0.36885416666666665,2.0020192600053885,0,0.36885416666666665
2025-04-23,24,71.94200000000001,75.4845,-3.5424999999999986,0.1833958333333333,3.4625097756441674,2,0.3667916666666666
2025-11-20,24,102.494,93.7745,8.7195,0.3633125,1.981039763760407,0,0.3633125
2025-01-25,24,101.372,96.457,4.915,0.3627916666666667,1.9436468538446654,0,0.3627916666666667
2025-09-01,24,79.118,84.8285,-5.710500000000004,0.23810416666666687,2.8602367569929217,1,0.3571562500000003
2026-01-28,24,102.054,97.6845,4.3694999999999995,0.3562291666666666,1.9781375071516232,0,0.3562291666666666
2025-07-16,24,55.787,61.397,-5.609999999999999,0.23608333333333334,2.6078153570770803,1,0.354125
2025-08-30,24,73.115,70.066,3.048999999999998,0.3524583333333333,2.2569735170039884,0,0.3524583333333333
2025-08-01,24,68.787,66.365,2.4219999999999984,0.35024999999999995,1.9720227054853185,0,0.35024999999999995
2025-12-09,24,81.72200000000001,74.025,7.697000000000001,0.34637500000000004,1.9578861874192934,0,0.34637500000000004
2025-08-04,24,69.971,66.365,3.605999999999999,0.33925,1.9720227054853185,0,0.33925
2026-02-03,24,99.685,94.3485,5.336500000000001,0.22535416666666672,2.6450257401172728,1,0.33803125000000006
2026-01-30,24,100.247,97.6845,2.5625000000000004,0.3321875,2.0020192600053885,0,0.3321875
2026-01-31,24,101.123,96.457,4.666000000000003,0.32641666666666674,1.9436468538446654,0,0.32641666666666674
2025-01-27,24,101.033,97.6845,3.3484999999999996,0.3244375,2.0184294953324766,0,0.3244375
2025-01-30,24,100.245,97.6845,2.560500000000001,0.3231875000000001,2.0184294953324766,0,0.3231875000000001
2025-01-31,24,100.03,97.6845,2.3455000000000004,0.3211458333333334,2.0020192600053885,0,0.3211458333333334
2026-02-08,24,100.507,95.893,4.614000000000001,0.3149166666666667,1.9148505488530307,0,0.3149166666666667
2026-01-25,24,102.94,96.457,6.483,0.31083333333333335,2.0300727544864547,0,0.31083333333333335
2025-03-01,24,89.014,85.0505,3.963500000000001,0.20702083333333324,2.6268699425308966,1,0.31053124999999987
2026-02-07,24,100.125,95.893,4.231999999999999,0.30116666666666664,2.0279333728524858,0,0.30116666666666664
2025-01-29,24,100.203,97.6845,2.518499999999999,0.3006875,2.0020192600053885,0,0.3006875
2025-06-08,24,63.565,59.961,3.603999999999998,0.1502499999999999,2.9999910000269994,2,0.3004999999999998
2025-01-28,24,100.228,97.6845,2.5435000000000008,0.30047916666666674,2.0020192600053885,0,0.30047916666666674
2026-01-24,24,102.682,96.457,6.225,0.2999583333333333,1.9436468538446654,0,0.2999583333333333
2025-09-02,24,80.55199999999999,84.8285,-4.276500000000005,0.19906250000000006,2.5096670030716557,1,0.2985937500000001
2025-05-01,24,69.51,65.267,4.243000000000002,0.19812499999999997,4.706379289963236,1,0.29718749999999994
2025-03-04,24,88.328,84.162,4.166,0.19766666666666666,2.528395868834312,1,0.2965
2025-08-07,24,70.407,66.365,4.042,0.29516666666666663,1.9720227054853185,0,0.29516666666666663
2025-08-05,24,69.389,66.365,3.0239999999999996,0.29433333333333334,1.9540130236624311,0,0.29433333333333334
2025-01-24,24,101.3,97.6845,3.6154999999999977,0.2915625,2.0184294953324766,0,0.2915625
2025-08-06,24,69.785,66.365,3.4199999999999995,0.29,2.160242232812701,0,0.29
2025-07-23,24,68.301,61.397,6.904,0.28783333333333333,2.0039603091351093,0,0.28783333333333333
