Hour,PreFail_Mean,PreFail_Std,PreFail_Median
0,6.846566666666666,0.1554973518642093,6.8345
1,6.677233333333334,1.2698545038387432,6.8885000000000005
2,6.947517241379311,0.1518242924025884,6.921
3,6.973344827586207,0.1656720676219979,6.943
4,6.702066666666667,1.3011996834044932,6.9495000000000005
5,4.2275,2.4898570205452804,3.2735000000000003
6,2.2352,3.278529931287013,0.0
7,0.8761,1.805913950483722,0.001
8,0.22143333333333332,0.8418269411527374,0.0
9,0.0007241379310344828,0.000454858826147342,0.001
10,0.0006551724137931034,0.0004837252813149746,0.001
11,0.00030000000000000003,0.0004660915996993991,0.0
12,0.0006666666666666666,0.0004794633014853842,0.001
13,0.00030000000000000003,0.000466091599699399,0.0
14,0.0007333333333333333,0.0004497764451088036,0.001
15,0.00030000000000000003,0.00046609159969939905,0.0
16,0.0007333333333333333,0.00044977644510880364,0.001
17,0.044566666666666664,0.16903818857111044,0.0
18,0.4315,1.6394085298015888,0.001
19,1.7350999999999999,2.613376470365888,0.14150000000000001
20,6.06748275862069,0.9168747235149906,6.578
21,6.720896551724138,0.16892080664102946,6.686
22,6.5746,1.2518538969505768,6.7695
23,6.844166666666666,0.149037621571461,6.814
