Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-01-04,0.9992507501414991,23,0.9583,0.9576153022189366,0.9999999989234449
2025-01-06,0.7280595216698568,23,0.9583,0.6977237082669461,0.7202123803909184
2025-03-17,0.5314901957713821,22,0.9167,0.4871993461237669,0.4935713065822742
2025-02-03,0.5257310102676838,22,0.9167,0.4819200927453768,0.4878878994819952
2025-03-12,0.408774744631089,22,0.9167,0.3747101825784982,0.3724705249045851
2026-01-01,0.2787367480303361,24,1.0,0.2787367480303361,0.26914983535747355
2025-12-09,0.17591129785836293,24,1.0,0.17591129785836293,0.1584525735081124
2026-01-07,0.1472343178293559,24,1.0,0.1472343178293559,0.1275802246683001
2025-07-07,0.12494991990494425,24,1.0,0.12494991990494425,0.1035898426367286
2026-01-20,0.12387791159357925,24,1.0,0.12387791159357925,0.10243576663171824
2025-05-12,0.11767131433654643,24,1.0,0.11767131433654643,0.09575402275793789
2025-06-20,0.11482090574852068,24,1.0,0.11482090574852068,0.09268540088155773
2026-01-23,0.11340331243536624,24,1.0,0.11340331243536624,0.091159283583557
2025-01-02,0.11272595190432631,24,1.0,0.11272595190432631,0.09043006765553974
2025-06-25,0.11262115863613478,24,1.0,0.11262115863613478,0.09031725192918359
2025-07-03,0.11236697657901498,24,1.0,0.11236697657901498,0.09004361094159404
2025-01-01,0.11199481937634381,24,1.0,0.11199481937634381,0.08964296321046993
2025-06-24,0.11189893703135415,24,1.0,0.11189893703135415,0.08953974058385074
2025-06-27,0.11183300763382172,24,1.0,0.11183300763382172,0.08946876395530194
2025-06-23,0.11158325760029258,24,1.0,0.11158325760029258,0.08919989428527159
2025-07-16,0.11130483293650495,24,1.0,0.11130483293650495,0.08890015479605883
2025-01-05,0.11084116515349603,24,1.0,0.11084116515349603,0.08840099088380744
2025-06-19,0.11031695249056218,24,1.0,0.11031695249056218,0.0878366470728493
2025-06-21,0.10918054893104029,24,1.0,0.10918054893104029,0.08661324603561046
2025-12-27,0.10914993035565537,24,1.0,0.10914993035565537,0.08658028345240593
2025-06-28,0.1091223821663122,24,1.0,0.1091223821663122,0.08655062630892543
2025-01-08,0.10823880288371321,24,1.0,0.10823880288371321,0.08559940453409297
2025-06-15,0.10807488700440714,24,1.0,0.10807488700440714,0.0854229400597584
2025-01-07,0.10779059686805087,24,1.0,0.10779059686805087,0.08511688606619175
2025-06-22,0.10770269188149915,24,1.0,0.10770269188149915,0.0850222515054103
2025-06-26,0.10756440341356481,24,1.0,0.10756440341356481,0.08487337635125272
2025-06-16,0.1074876468124833,24,1.0,0.1074876468124833,0.08479074364160373
2025-06-17,0.10732597114028596,24,1.0,0.10732597114028596,0.08461669087363657
2025-06-18,0.10729043101002594,24,1.0,0.10729043101002594,0.08457842996547646
2025-06-29,0.10660540771449714,24,1.0,0.10660540771449714,0.08384096464933886
