Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-01-04,0.9992507501414991,23,0.9583,0.9576153022189366,0.9999999989234449
2025-01-06,0.7280595216698568,23,0.9583,0.6977237082669461,0.7202123803909184
2025-03-17,0.5314901957713821,22,0.9167,0.4871993461237669,0.4935713065822742
2025-02-03,0.5257310102676838,22,0.9167,0.4819200927453768,0.4878878994819952
2025-03-12,0.408774744631089,22,0.9167,0.3747101825784982,0.3724705249045851
2026-01-01,0.2787367480303361,24,1.0,0.2787367480303361,0.26914983535747355
2025-12-09,0.17591129785836293,24,1.0,0.17591129785836293,0.1584525735081124
2026-01-07,0.1472343178293559,24,1.0,0.1472343178293559,0.1275802246683001
2025-07-07,0.12494991990494425,24,1.0,0.12494991990494425,0.1035898426367286
2026-01-20,0.12387791159357925,24,1.0,0.12387791159357925,0.10243576663171824
