Date,OSF_ID,Priority,CombinedScore,AnomalyTypes,RuleScore,ForecastScore,GAFScore,CPScore,Anomaly_Hours,CP_Proximity_Days,missing_ratio,data_quality_flag
2026-01-01,2193681000,HIGH,0.5538299671294457,,0.0,1.0,0.26914983564722816,1.0,10,0,0.0,complete
2025-01-04,2193681000,HIGH,0.5419764091636274,"NightDrop, ScheduleShift",1.0,0.1156449866612044,1.0,0.036414565826330535,2,16,0.0417,partial_missing
2025-01-06,2193681000,HIGH,0.48561658208676656,"NightDrop, ScheduleShift",1.0,0.10895072321541444,0.7202123811662667,0.044444444444444446,2,14,0.0417,partial_missing
2025-03-12,2193681000,HIGH,0.41524424408983773,"NightDrop, ScheduleShift",1.0,0.11757982850844423,0.3724705253055702,0.027380952380952384,2,19,0.0833,partial_missing
2025-05-12,2193681000,MEDIUM,0.3700433406325173,"NightDrop, ScheduleShift",1.0,0.04900686623278884,0.09575402286102229,0.18095238095238098,3,4,0.0,complete
2025-12-31,2193681000,MEDIUM,0.3628686376693978,NightDrop,0.6666666666666666,0.19065317070097906,0.04026819420028213,0.48809523809523814,1,1,0.0,complete
2025-08-28,2193681000,MEDIUM,0.3213493692525913,ScheduleShift,0.3333333333333333,0.059462040109939295,0.01755378609804752,1.0,1,0,0.0,complete
2025-01-20,2193681000,MEDIUM,0.3167495319622013,ScheduleShift,0.3333333333333333,0.009884921805842434,0.06892027710224279,1.0,0,0,0.0,complete
2025-07-31,2193681000,MEDIUM,0.31491263575221873,ScheduleShift,0.3333333333333333,0.021593324072262877,0.042173192652699164,1.0,0,0,0.0,complete
2025-05-08,2193681000,MEDIUM,0.3127105620975392,ScheduleShift,0.3333333333333333,0.015360336316105299,0.04051230601353833,1.0,0,0,0.0,complete
2025-04-24,2193681000,MEDIUM,0.3085706356460519,ScheduleShift,0.3333333333333333,0.009639580798419206,0.0283938070326308,1.0,0,0,0.0,complete
2025-08-14,2193681000,MEDIUM,0.30740109607803373,ScheduleShift,0.3333333333333333,0.007068473349004211,0.02640277036666244,1.0,0,0,0.0,complete
2026-01-21,2193681000,MEDIUM,0.28352581357308304,NightDrop,0.6666666666666666,0.20349047314344826,0.04312928888617376,0.06926406926406926,2,10,0.0,complete
2025-08-23,2193681000,MEDIUM,0.2595408412351326,"DaytimeNonZero, ScheduleShift",0.6666666666666666,0.05642843170734135,0.06623616178925408,0.1468253968253968,2,5,0.0,complete
2025-10-03,2193681000,LOW,0.24987052807665183,NightDrop,0.6666666666666666,0.13210121311181916,0.023819868334578203,0.027380952380952384,5,19,0.0,complete
2025-10-17,2193681000,LOW,0.24920982063796482,NightDrop,0.6666666666666666,0.0411642425427938,0.03747734255023663,0.1468253968253968,2,5,0.0,complete
2026-01-22,2193681000,LOW,0.245486443390138,NightDrop,0.6666666666666666,0.09031367179340963,0.030453772752639167,0.061507936507936505,0,11,0.0,complete
2025-12-03,2193681000,LOW,0.24379828156180677,,0.0,0.09868344710746269,0.07096623714783977,1.0,0,0,0.0,complete
2025-02-12,2193681000,LOW,0.23895919340014427,NightDrop,0.6666666666666666,0.060197234277454145,0.02592868701311156,0.07857142857142858,5,9,0.0,complete
2026-01-04,2193681000,LOW,0.23831046542250175,,0.0,0.5994261009677708,0.060270318517995324,0.23214285714285718,11,3,0.0,complete
2025-02-03,2193681000,LOW,0.23532019893264333,ScheduleShift,0.3333333333333333,0.0961791001410259,0.4878879000072334,0.044444444444444446,2,14,0.0833,partial_missing
2025-08-29,2193681000,LOW,0.21952636612001514,ScheduleShift,0.3333333333333333,0.05714456221549561,0.023819749181594276,0.48809523809523814,1,1,0.0,complete
2025-12-17,2193681000,LOW,0.21690301524322786,,0.0,0.0008056468216735572,0.08330660598362886,1.0,0,0,0.0,complete
2025-12-13,2193681000,LOW,0.215991000328721,,0.0,0.004474157966454593,0.07324376469392316,1.0,0,0,0.0,complete
2026-01-10,2193681000,LOW,0.21569790764803365,,0.0,0.01596374257760567,0.054543924373759746,1.0,0,0,0.0,complete
2025-01-19,2193681000,LOW,0.2147380886077124,ScheduleShift,0.3333333333333333,0.01437565686739318,0.06403171964223407,0.48809523809523814,0,1,0.0,complete
2025-08-01,2193681000,LOW,0.2142546169389542,ScheduleShift,0.3333333333333333,0.027186435957708515,0.0423981926629701,0.48809523809523814,0,1,0.0,complete
2025-08-27,2193681000,LOW,0.21350512196817553,ScheduleShift,0.3333333333333333,0.034034433941933756,0.02837872083273896,0.48809523809523814,1,1,0.0,complete
2026-01-03,2193681000,LOW,0.21278265928357054,,0.0,0.4525016494209622,0.06770050482609202,0.31746031746031744,8,2,0.0,complete
2025-07-30,2193681000,LOW,0.21224702283776462,ScheduleShift,0.3333333333333333,0.02042298115847372,0.04250540435587441,0.48809523809523814,0,1,0.0,complete
2026-01-11,2193681000,LOW,0.21202413735471293,,0.0,0.014445280666797075,0.038452765773368924,1.0,0,0,0.0,complete
2025-04-23,2193681000,LOW,0.21199258174426144,ScheduleShift,0.3333333333333333,0.02850265730834392,0.029113684663553286,0.48809523809523814,2,1,0.0,complete
2025-01-21,2193681000,LOW,0.21192740847109995,ScheduleShift,0.3333333333333333,0.009603111189207649,0.05713713747645018,0.48809523809523814,0,1,0.0,complete
2025-05-09,2193681000,LOW,0.21043621177256144,ScheduleShift,0.3333333333333333,0.014892862234393489,0.04174652741597894,0.48809523809523814,0,1,0.0,complete
2025-05-07,2193681000,LOW,0.21008716602915906,ScheduleShift,0.3333333333333333,0.013656210940219682,0.041856275640227585,0.48809523809523814,0,1,0.0,complete
2025-11-15,2193681000,LOW,0.20989955456546738,,0.0,0.010911043992294976,0.033131206838894374,1.0,0,0,0.0,complete
2025-10-22,2193681000,LOW,0.20891502649047908,,0.0,0.008053152797716338,0.032495403255820794,1.0,0,0,0.0,complete
2025-04-25,2193681000,LOW,0.20723067315249233,ScheduleShift,0.3333333333333333,0.01153931589643957,0.030749153822564258,0.48809523809523814,0,1,0.0,complete
2025-02-21,2193681000,LOW,0.20629637020154126,,0.0,0.009550064484899923,0.017156754280356394,1.0,0,0,0.0,complete
2025-08-13,2193681000,LOW,0.2057617722737326,ScheduleShift,0.3333333333333333,0.008875376714486063,0.02740055820169581,0.48809523809523814,0,1,0.0,complete
2025-08-15,2193681000,LOW,0.20453315214168044,ScheduleShift,0.3333333333333333,0.0061699947947921425,0.025315530420975865,0.48809523809523814,0,1,0.0,complete
2025-11-13,2193681000,LOW,0.18918129119186614,DaytimeNonZero,0.3333333333333333,0.029994595866998656,0.08345424469851531,0.31746031746031744,2,2,0.0,complete
2025-01-22,2193681000,LOW,0.18213963071761569,ScheduleShift,0.3333333333333333,0.019221141764001845,0.06440612348175824,0.31746031746031744,0,2,0.0,complete
2025-08-12,2193681000,LOW,0.18150912583548579,ScheduleShift,0.3333333333333333,0.016673242247721473,0.06507544834552921,0.31746031746031744,0,2,0.0,complete
2025-01-18,2193681000,LOW,0.18060144995176403,ScheduleShift,0.3333333333333333,0.014498327371104796,0.06379944124184551,0.31746031746031744,0,2,0.0,complete
2025-08-30,2193681000,LOW,0.17933676523177017,ScheduleShift,0.3333333333333333,0.027362153165727855,0.03818027894994168,0.31746031746031744,0,2,0.0,complete
2025-07-29,2193681000,LOW,0.17798904458427675,ScheduleShift,0.3333333333333333,0.019570918470530906,0.04312852775527004,0.31746031746031744,0,2,0.0,complete
2025-05-06,2193681000,LOW,0.17706821359658623,ScheduleShift,0.3333333333333333,0.01833426717635708,0.040379349758078095,0.31746031746031744,1,2,0.0,complete
2025-05-10,2193681000,LOW,0.17673158169611664,ScheduleShift,0.3333333333333333,0.015923957549374878,0.04231165469620343,0.31746031746031744,0,2,0.0,complete
2025-08-02,2193681000,LOW,0.17638462970803065,ScheduleShift,0.3333333333333333,0.015025478995162803,0.04192461258709166,0.31746031746031744,0,2,0.0,complete
2025-04-26,2193681000,LOW,0.17372785874698457,ScheduleShift,0.3333333333333333,0.011323813660189445,0.03419325578432133,0.31746031746031744,0,2,0.0,complete
2025-08-16,2193681000,LOW,0.17341297260839839,ScheduleShift,0.3333333333333333,0.01628533822247125,0.025176538247967634,0.31746031746031744,0,2,0.0,complete
2025-04-22,2193681000,LOW,0.1709518586911316,ScheduleShift,0.3333333333333333,0.008923450290264924,0.023913800559943323,0.31746031746031744,0,2,0.0,complete
2025-08-26,2193681000,LOW,0.170329456302358,ScheduleShift,0.3333333333333333,0.009376004986390211,0.020122956571887275,0.31746031746031744,0,2,0.0,complete
2025-01-23,2193681000,LOW,0.1646343103958389,ScheduleShift,0.3333333333333333,0.021704390609407178,0.05847210892222665,0.23214285714285718,0,3,0.0,complete
2025-08-31,2193681000,LOW,0.16209752031196334,ScheduleShift,0.3333333333333333,0.042976119036804476,0.013880565861752795,0.23214285714285718,1,3,0.0,complete
2025-01-17,2193681000,LOW,0.16144339336146987,ScheduleShift,0.3333333333333333,0.009619688284303818,0.06064457723803653,0.23214285714285718,0,3,0.0,complete
2025-07-28,2193681000,LOW,0.16103920748182607,ScheduleShift,0.3333333333333333,0.015211142460239841,0.050236466575913526,0.23214285714285718,0,3,0.0,complete
2025-05-05,2193681000,LOW,0.16030996792681582,ScheduleShift,0.3333333333333333,0.01886639192894395,0.04110739459780608,0.23214285714285718,1,3,0.0,complete
2025-05-11,2193681000,LOW,0.159318069632862,ScheduleShift,0.3333333333333333,0.014309348487008529,0.04298346829093998,0.23214285714285718,0,3,0.0,complete
2025-08-03,2193681000,LOW,0.15894563768482106,ScheduleShift,0.3333333333333333,0.014674044579124128,0.04057426441256203,0.23214285714285718,0,3,0.0,complete
2025-08-11,2193681000,LOW,0.1584418080417723,ScheduleShift,0.3333333333333333,0.020253894788492842,0.029685340883265108,0.23214285714285718,0,3,0.0,complete
2025-04-27,2193681000,LOW,0.15809851731096172,ScheduleShift,0.3333333333333333,0.01539514821580726,0.03525700708824061,0.23214285714285718,0,3,0.0,complete
2025-08-17,2193681000,LOW,0.1560059640082877,ScheduleShift,0.3333333333333333,0.015529422686086184,0.024592828869452136,0.23214285714285718,0,3,0.0,complete
2025-01-24,2193681000,LOW,0.15463663008904027,ScheduleShift,0.3333333333333333,0.0225166682691192,0.058455767089141665,0.18095238095238098,0,4,0.0,complete
2025-08-25,2193681000,LOW,0.15425774047676535,ScheduleShift,0.3333333333333333,0.010655756727814047,0.0231622101492486,0.23214285714285718,0,3,0.0,complete
2025-04-21,2193681000,LOW,0.15291863872373634,ScheduleShift,0.3333333333333333,0.006479986473090394,0.022730356766188984,0.23214285714285718,0,3,0.0,complete
2025-01-16,2193681000,LOW,0.15289106128748167,ScheduleShift,0.3333333333333333,0.01011700113718873,0.06832742377924435,0.18095238095238098,0,4,0.0,complete
2025-08-04,2193681000,LOW,0.15202402012580332,ScheduleShift,0.3333333333333333,0.026311165336631078,0.03970097167168908,0.18095238095238098,0,4,0.0,complete
2025-07-27,2193681000,LOW,0.15094666848400953,ScheduleShift,0.3333333333333333,0.018859761090905473,0.04549131983130852,0.18095238095238098,0,4,0.0,complete
2025-01-25,2193681000,LOW,0.14913810191105883,ScheduleShift,0.3333333333333333,0.02818437708249758,0.056588547106150994,0.1468253968253968,0,5,0.0,complete
2025-05-04,2193681000,LOW,0.1486172050274789,ScheduleShift,0.3333333333333333,0.013185421439488637,0.042355512025780646,0.18095238095238098,0,4,0.0,complete
