OSF_ID,Date,n_present,n_missing,missing_ratio,missing_hours,outage_overlap_count,unknown_missing_count,data_quality_flag
2193681000,2025-04-17,24,0,0.0,[],0,0,complete
2193681000,2025-04-18,24,0,0.0,[],0,0,complete
2193681000,2025-04-19,24,0,0.0,[],0,0,complete
2193681000,2025-04-20,24,0,0.0,[],0,0,complete
2193681000,2025-04-21,24,0,0.0,[],0,0,complete
2193681000,2025-04-22,24,0,0.0,[],0,0,complete
2193681000,2025-04-23,24,0,0.0,[],0,0,complete
2193681000,2025-04-24,24,0,0.0,[],0,0,complete
2193681000,2025-04-25,24,0,0.0,[],0,0,complete
2193681000,2025-04-26,24,0,0.0,[],0,0,complete
2193681000,2025-04-27,24,0,0.0,[],0,0,complete
2193681000,2025-04-28,24,0,0.0,[],0,0,complete
2193681000,2025-04-29,24,0,0.0,[],0,0,complete
2193681000,2025-04-30,24,0,0.0,[],0,0,complete
2193681000,2025-05-01,24,0,0.0,[],0,0,complete
2193681000,2025-05-02,24,0,0.0,[],0,0,complete
2193681000,2025-05-03,24,0,0.0,[],0,0,complete
2193681000,2025-05-04,24,0,0.0,[],0,0,complete
2193681000,2025-05-05,24,0,0.0,[],0,0,complete
2193681000,2025-05-06,24,0,0.0,[],0,0,complete
2193681000,2025-05-07,24,0,0.0,[],0,0,complete
2193681000,2025-05-08,24,0,0.0,[],0,0,complete
2193681000,2025-05-09,24,0,0.0,[],0,0,complete
2193681000,2025-05-10,24,0,0.0,[],0,0,complete
2193681000,2025-05-11,24,0,0.0,[],0,0,complete
2193681000,2025-05-12,24,0,0.0,[],0,0,complete
2193681000,2025-05-13,24,0,0.0,[],0,0,complete
2193681000,2025-05-14,24,0,0.0,[],0,0,complete
2193681000,2025-05-15,24,0,0.0,[],0,0,complete
2193681000,2025-05-16,24,0,0.0,[],0,0,complete
2193681000,2025-05-17,24,0,0.0,[],0,0,complete
2193681000,2025-05-18,24,0,0.0,[],0,0,complete
2193681000,2025-05-19,24,0,0.0,[],0,0,complete
2193681000,2025-05-20,24,0,0.0,[],0,0,complete
2193681000,2025-05-21,24,0,0.0,[],0,0,complete
2193681000,2025-05-22,24,0,0.0,[],0,0,complete
2193681000,2025-05-23,24,0,0.0,[],0,0,complete
2193681000,2025-05-24,24,0,0.0,[],0,0,complete
2193681000,2025-05-25,24,0,0.0,[],0,0,complete
2193681000,2025-05-26,24,0,0.0,[],0,0,complete
2193681000,2025-05-27,24,0,0.0,[],0,0,complete
2193681000,2025-05-28,24,0,0.0,[],0,0,complete
2193681000,2025-05-29,24,0,0.0,[],0,0,complete
2193681000,2025-05-30,24,0,0.0,[],0,0,complete
2193681000,2025-05-31,24,0,0.0,[],0,0,complete
2193681000,2025-06-01,24,0,0.0,[],0,0,complete
2193681000,2025-06-02,24,0,0.0,[],0,0,complete
2193681000,2025-06-03,24,0,0.0,[],0,0,complete
